t x y
0.000000 10.000000 10.000000
0.001000 9.971000 10.006000
0.002000 9.942060 10.011975
0.003000 9.913181 10.017924
0.004000 9.884361 10.023848
0.005000 9.855602 10.029746
0.006000 9.826904 10.035619
0.007000 9.798266 10.041467
0.008000 9.769688 10.047289
0.009000 9.741171 10.053086
0.010000 9.712715 10.058858
0.011000 9.684320 10.064604
0.012000 9.655985 10.070325
0.013000 9.627711 10.076021
0.014000 9.599498 10.081691
0.015000 9.571346 10.087336
0.016000 9.543254 10.092956
0.017000 9.515224 10.098551
0.018000 9.487255 10.104121
0.019000 9.459347 10.109665
0.020000 9.431500 10.115184
0.021000 9.403714 10.120678
0.022000 9.375989 10.126147
0.023000 9.348325 10.131591
0.024000 9.320723 10.137010
0.025000 9.293182 10.142404
0.026000 9.265703 10.147772
0.027000 9.238285 10.153116
0.028000 9.210928 10.158434
0.029000 9.183632 10.163728
0.030000 9.156398 10.168996
0.031000 9.129226 10.174240
0.032000 9.102115 10.179458
0.033000 9.075065 10.184652
0.034000 9.048077 10.189821
0.035000 9.021151 10.194965
0.036000 8.994286 10.200084
0.037000 8.967483 10.205178
0.038000 8.940741 10.210247
0.039000 8.914061 10.215292
0.040000 8.887443 10.220312
0.041000 8.860886 10.225307
0.042000 8.834391 10.230277
0.043000 8.807957 10.235223
0.044000 8.781585 10.240144
0.045000 8.755275 10.245040
0.046000 8.729027 10.249912
0.047000 8.702840 10.254759
0.048000 8.676715 10.259582
0.049000 8.650651 10.264380
0.050000 8.624650 10.269154
0.051000 8.598710 10.273903
0.052000 8.572831 10.278628
0.053000 8.547015 10.283328
0.054000 8.521260 10.288004
0.055000 8.495566 10.292655
0.056000 8.469935 10.297282
0.057000 8.444365 10.301885
0.058000 8.418856 10.306464
0.059000 8.393410 10.311018
0.060000 8.368025 10.315548
0.061000 8.342701 10.320054
0.062000 8.317439 10.324535
0.063000 8.292239 10.328993
0.064000 8.267100 10.333426
0.065000 8.242023 10.337836
0.066000 8.217007 10.342221
0.067000 8.192053 10.346583
0.068000 8.167161 10.350920
0.069000 8.142329 10.355233
0.070000 8.117560 10.359523
0.071000 8.092851 10.363788
0.072000 8.068205 10.368030
0.073000 8.043619 10.372248
0.074000 8.019095 10.376442
0.075000 7.994632 10.380613
0.076000 7.970230 10.384759
0.077000 7.945890 10.388882
0.078000 7.921611 10.392982
0.079000 7.897393 10.397057
0.080000 7.873236 10.401109
0.081000 7.849141 10.405138
0.082000 7.825106 10.409143
0.083000 7.801133 10.413125
0.084000 7.777220 10.417083
0.085000 7.753369 10.421018
0.086000 7.729578 10.424929
0.087000 7.705849 10.428817
0.088000 7.682180 10.432682
0.089000 7.658572 10.436523
0.090000 7.635025 10.440342
0.091000 7.611539 10.444137
0.092000 7.588113 10.447909
0.093000 7.564748 10.451657
0.094000 7.541444 10.455383
0.095000 7.518200 10.459086
0.096000 7.495016 10.462766
0.097000 7.471893 10.466422
0.098000 7.448831 10.470056
0.099000 7.425829 10.473667
0.100000 7.402887 10.477255
0.101000 7.380005 10.480821
0.102000 7.357184 10.484363
0.103000 7.334423 10.487883
0.104000 7.311721 10.491380
0.105000 7.289080 10.494854
0.106000 7.266499 10.498306
0.107000 7.243978 10.501736
0.108000 7.221517 10.505142
0.109000 7.199115 10.508527
0.110000 7.176773 10.511888
0.111000 7.154491 10.515228
0.112000 7.132269 10.518545
